census_tract,_rm_per_1000,rm_no,county_code,county,state_code,census_tract_np,census_tract_period,total_population,62yr_pp_pct,median_age,hispanic_pp_pct,non_hispanic_black_pp_pct
06071009119,1.6318537859007831,10,06071, San Bernardino County,CA,9119,91.19,6128,11.8%,34.3,40.4%,2.2%
06071010004,1.627906976744186,14,06071, San Bernardino County,CA,10004,100.04,8600,25.1%,42.9,22.0%,5.2%
06071008708,1.6263940520446096,7,06071, San Bernardino County,CA,8708,87.08,4304,15.0%,34.1,28.3%,0.3%
06071009202,1.6146393972012918,3,06071, San Bernardino County,CA,9202,92.02,1858,28.4%,52.8,16.8%,0.3%
06071009712,1.6139444803098772,10,06071, San Bernardino County,CA,9712,97.12,6196,16.7%,32,44.4%,5.5%
06071004503,1.6137708445400754,6,06071, San Bernardino County,CA,4503,45.03,3718,13.7%,35.5,45.4%,5.1%
06071000203,1.6095654173373188,7,06071, San Bernardino County,CA,203,2.03,4349,13.0%,36,75.8%,1.3%
06071003507,1.6029310739638196,7,06071, San Bernardino County,CA,3507,35.07,4367,18.6%,33.9,79.2%,10.4%
06071008703,1.5845767859500859,12,06071, San Bernardino County,CA,8703,87.03,7573,30.9%,49.6,18.6%,1.8%
06071000109,1.5820509132748455,11,06071, San Bernardino County,CA,109,1.09,6953,15.9%,42,33.9%,1.3%
06071009906,1.5726361313151171,8,06071, San Bernardino County,CA,9906,99.06,5087,14.1%,33.5,50.7%,15.9%
06071011001,1.5552099533437014,3,06071, San Bernardino County,CA,11001,110.01,1929,17.3%,40.3,30.4%,0.3%
06071005200,1.5527950310559004,7,06071, San Bernardino County,CA,5200,52,4508,9.3%,31.8,63.4%,8.1%
06071009710,1.550387596899225,12,06071, San Bernardino County,CA,9710,97.1,7740,11.8%,28.8,43.0%,14.1%
06071000504,1.5452538631346577,7,06071, San Bernardino County,CA,504,5.04,4530,19.4%,40.7,56.6%,1.2%
06071000813,1.5365703749231714,5,06071, San Bernardino County,CA,813,8.13,3254,29.5%,50.2,27.5%,2.0%
06071012101,1.5358361774744027,9,06071, San Bernardino County,CA,12101,121.01,5860,22.1%,38.6,22.3%,10.6%
06071002029,1.529051987767584,9,06071, San Bernardino County,CA,2029,20.29,5886,15.4%,38.7,31.7%,7.7%
06071010804,1.5267175572519083,4,06071, San Bernardino County,CA,10804,108.04,2620,16.3%,42.8,16.3%,1.6%
06071009201,1.5060240963855422,6,06071, San Bernardino County,CA,9201,92.01,3984,25.5%,38.6,20.4%,0.0%
06071000118,1.4903129657228018,7,06071, San Bernardino County,CA,118,1.18,4697,17.7%,44.2,19.1%,1.4%
06071009912,1.4752370916754478,7,06071, San Bernardino County,CA,9912,99.12,4745,16.9%,33.8,46.3%,20.3%
06071000205,1.4681592952835383,8,06071, San Bernardino County,CA,205,2.05,5449,20.8%,35.2,65.3%,1.8%
