geo_id,census_tract,tract_name,population,hispanic_pp,black_pp,hispanic_pp_pct,black_pp_pct
1400000US06037124105,06037124105,"Census Tract 1241.05, Los Angeles County, California",2287,1266,38,55.35636204634893,1.6615653694796677
1400000US06037124201,06037124201,"Census Tract 1242.01, Los Angeles County, California",3548,2161,106,60.9075535512965,2.987598647125141
1400000US06037124203,06037124203,"Census Tract 1242.03, Los Angeles County, California",2216,1189,47,53.655234657039706,2.1209386281588447
1400000US06037124204,06037124204,"Census Tract 1242.04, Los Angeles County, California",1867,1005,57,53.82967327262988,3.053026245313337
1400000US06037124300,06037124300,"Census Tract 1243, Los Angeles County, California",2892,1596,111,55.18672199170125,3.8381742738589213
1400000US06037124400,06037124400,"Census Tract 1244, Los Angeles County, California",4855,1255,99,25.84963954685891,2.03913491246138
1400000US06037124500,06037124500,"Census Tract 1245, Los Angeles County, California",2807,376,67,13.395083719273245,2.386889918061988
1400000US06037124600,06037124600,"Census Tract 1246, Los Angeles County, California",2606,380,61,14.581734458940906,2.340752110514198
1400000US06037124700,06037124700,"Census Tract 1247, Los Angeles County, California",5606,841,303,15.001783803068141,5.40492329646807
1400000US06037124902,06037124902,"Census Tract 1249.02, Los Angeles County, California",3075,673,331,21.88617886178862,10.764227642276422
1400000US06037124903,06037124903,"Census Tract 1249.03, Los Angeles County, California",3746,932,593,24.879871863320876,15.83021890016017
1400000US06037125101,06037125101,"Census Tract 1251.01, Los Angeles County, California",3567,577,570,16.176058312307262,15.979814970563499
1400000US06037125102,06037125102,"Census Tract 1251.02, Los Angeles County, California",2121,427,188,20.13201320132013,8.863743517208864
1400000US06037125200,06037125200,"Census Tract 1252, Los Angeles County, California",4006,1050,200,26.21068397403894,4.992511233150275
1400000US06037125310,06037125310,"Census Tract 1253.10, Los Angeles County, California",3844,1393,580,36.238293444328825,15.088449531737774
1400000US06037125321,06037125321,"Census Tract 1253.21, Los Angeles County, California",3089,1207,189,39.07413402395598,6.118484946584656
1400000US06037125322,06037125322,"Census Tract 1253.22, Los Angeles County, California",2052,757,77,36.89083820662768,3.752436647173489
1400000US06037125402,06037125402,"Census Tract 1254.02, Los Angeles County, California",4139,654,181,15.800918096158492,4.373036965450592
